    1,medicine1                                        ,  2.000000,       100,tablet             ,300                ,D
  105,medicine105                                      ,  6.000000,       100,injection          ,5mg                ,D
  106,medicine106                                      ,  7.000000,       100,tablet             ,6mg                ,A
  107,medicine107                                      ,  8.000000,       100,injection          ,7mg                ,D
  108,medicine108                                      ,  9.000000,       100,tablet             ,8mg                ,A
  109,medicine109                                      , 10.000000,       100,injection          ,9mg                ,D
  110,medicine110                                      ,  1.000000,       100,tablet             ,0mg                ,A
  111,medicine111                                      ,  2.000000,       100,injection          ,1mg                ,D
  112,medicine112                                      ,  3.000000,       100,tablet             ,2mg                ,A
  113,medicine113                                      ,  4.000000,       100,injection          ,3mg                ,D
  114,medicine114                                      ,  5.000000,       100,tablet             ,4mg                ,A
  115,medicine115                                      ,  6.000000,       100,injection          ,5mg                ,D
  116,medicine116                                      ,  7.000000,       100,tablet             ,6mg                ,A
  117,medicine117                                      ,  8.000000,       100,injection          ,7mg                ,D
  118,medicine118                                      ,  9.000000,       100,tablet             ,8mg                ,A
  119,medicine119                                      , 10.000000,       100,injection          ,9mg                ,D
  120,medicine120                                      ,  1.000000,       100,tablet             ,0mg                ,A
  121,medicine121                                      ,  2.000000,       100,injection          ,1mg                ,D
  122,medicine122                                      ,  3.000000,       100,tablet             ,2mg                ,A
  123,medicine123                                      ,  4.000000,       100,injection          ,3mg                ,D
  124,medicine124                                      ,  5.000000,       100,tablet             ,4mg                ,A
  125,medicine125                                      ,  6.000000,       100,injection          ,5mg                ,D
  126,medicine126                                      ,  7.000000,       100,tablet             ,6mg                ,A
  127,medicine127                                      ,  8.000000,       100,injection          ,7mg                ,D
  128,medicine128                                      ,  9.000000,       100,tablet             ,8mg                ,A
  129,medicine129                                      , 10.000000,       100,injection          ,9mg                ,D
  130,medicine130                                      ,  1.000000,       100,tablet             ,0mg                ,A
  131,medicine131                                      ,  2.000000,       100,injection          ,1mg                ,D
  132,medicine132                                      ,  3.000000,       100,tablet             ,2mg                ,A
  133,medicine133                                      ,  4.000000,       100,injection          ,3mg                ,D
  134,medicine134                                      ,  5.000000,       100,tablet             ,4mg                ,A
  135,medicine135                                      ,  6.000000,       100,injection          ,5mg                ,D
  136,medicine136                                      ,  7.000000,       100,tablet             ,6mg                ,A
  137,medicine137                                      ,  8.000000,       100,injection          ,7mg                ,D
  138,medicine138                                      ,  9.000000,       100,tablet             ,8mg                ,A
  139,medicine139                                      , 10.000000,       100,injection          ,9mg                ,D
  140,medicine140                                      ,  1.000000,       100,tablet             ,0mg                ,A
  141,medicine141                                      ,  2.000000,       100,injection          ,1mg                ,D
  142,medicine142                                      ,  3.000000,       100,tablet             ,2mg                ,A
  143,medicine143                                      ,  4.000000,       100,injection          ,3mg                ,D
  144,medicine144                                      ,  5.000000,       100,tablet             ,4mg                ,A
  145,medicine145                                      ,  6.000000,       100,injection          ,5mg                ,D
  146,medicine146                                      ,  7.000000,       100,tablet             ,6mg                ,A
  147,medicine147                                      ,  8.000000,       100,injection          ,7mg                ,D
  148,medicine148                                      ,  9.000000,       100,tablet             ,8mg                ,A
  149,medicine149                                      , 10.000000,       100,injection          ,9mg                ,D
  150,medicine150                                      ,  1.000000,       100,tablet             ,0mg                ,A
  151,medicine151                                      ,  2.000000,       100,injection          ,1mg                ,D
  152,medicine152                                      ,  3.000000,       100,tablet             ,2mg                ,A
  153,medicine153                                      ,  4.000000,       100,injection          ,3mg                ,D
  154,medicine154                                      ,  5.000000,       100,tablet             ,4mg                ,A
  155,medicine155                                      ,  6.000000,       100,injection          ,5mg                ,D
  156,medicine156                                      ,  7.000000,       100,tablet             ,6mg                ,A
  157,medicine157                                      ,  8.000000,       100,injection          ,7mg                ,D
  158,medicine158                                      ,  9.000000,       100,tablet             ,8mg                ,A
  159,medicine159                                      , 10.000000,       100,injection          ,9mg                ,D
  160,medicine160                                      ,  1.000000,       100,tablet             ,0mg                ,A
  161,medicine161                                      ,  2.000000,       100,injection          ,1mg                ,D
  162,medicine162                                      ,  3.000000,       100,tablet             ,2mg                ,A
  163,medicine163                                      ,  4.000000,       100,injection          ,3mg                ,D
  164,medicine164                                      ,  5.000000,       100,tablet             ,4mg                ,A
  165,medicine165                                      ,  6.000000,       100,injection          ,5mg                ,D
  166,medicine166                                      ,  7.000000,       100,tablet             ,6mg                ,A
  167,medicine167                                      ,  8.000000,       100,injection          ,7mg                ,D
  168,medicine168                                      ,  9.000000,       100,tablet             ,8mg                ,A
  169,medicine169                                      , 10.000000,       100,injection          ,9mg                ,D
  170,medicine170                                      ,  1.000000,       100,tablet             ,0mg                ,A
  171,medicine171                                      ,  2.000000,       100,injection          ,1mg                ,D
  172,medicine172                                      ,  3.000000,       100,tablet             ,2mg                ,A
  173,medicine173                                      ,  4.000000,       100,injection          ,3mg                ,D
  174,medicine174                                      ,  5.000000,       100,tablet             ,4mg                ,A
  175,medicine175                                      ,  6.000000,       100,injection          ,5mg                ,D
  176,medicine176                                      ,  7.000000,       100,tablet             ,6mg                ,A
  177,medicine177                                      ,  8.000000,       100,injection          ,7mg                ,D
  178,medicine178                                      ,  9.000000,       100,tablet             ,8mg                ,A
  179,medicine179                                      , 10.000000,       100,injection          ,9mg                ,D
  180,medicine180                                      ,  1.000000,       100,tablet             ,0mg                ,A
  181,medicine181                                      ,  2.000000,       100,injection          ,1mg                ,D
  182,medicine182                                      ,  3.000000,       100,tablet             ,2mg                ,A
  183,medicine183                                      ,  4.000000,       100,injection          ,3mg                ,D
  184,medicine184                                      ,  5.000000,       100,tablet             ,4mg                ,A
  185,medicine185                                      ,  6.000000,       100,injection          ,5mg                ,D
  186,medicine186                                      ,  7.000000,       100,tablet             ,6mg                ,A
  187,medicine187                                      ,  8.000000,       100,injection          ,7mg                ,D
  188,medicine188                                      ,  9.000000,       100,tablet             ,8mg                ,A
  189,medicine189                                      , 10.000000,       100,injection          ,9mg                ,D
  190,medicine190                                      ,  1.000000,       100,tablet             ,0mg                ,A
  191,medicine191                                      ,  2.000000,       100,injection          ,1mg                ,D
  192,medicine192                                      ,  3.000000,       100,tablet             ,2mg                ,A
  193,medicine193                                      ,  4.000000,       100,injection          ,3mg                ,D
  194,medicine194                                      ,  5.000000,       100,tablet             ,4mg                ,A
  195,medicine195                                      ,  6.000000,       100,injection          ,5mg                ,D
  196,medicine196                                      ,  7.000000,       100,tablet             ,6mg                ,A
  197,medicine197                                      ,  8.000000,       100,injection          ,7mg                ,D
  198,medicine198                                      ,  9.000000,       100,tablet             ,8mg                ,A
  199,medicine199                                      , 10.000000,       100,injection          ,9mg                ,D
  200,medicine200                                      ,  1.000000,       100,tablet             ,0mg                ,A
  201,medicine201                                      ,  2.000000,       100,injection          ,1mg                ,D
  202,medicine202                                      ,  3.000000,       100,tablet             ,2mg                ,A
  203,medicine203                                      ,  4.000000,       100,injection          ,3mg                ,D
  204,medicine204                                      ,  5.000000,       100,tablet             ,4mg                ,A
  205,medicine205                                      ,  6.000000,       100,injection          ,5mg                ,D
  206,medicine206                                      ,  7.000000,       100,tablet             ,6mg                ,A
  207,medicine207                                      ,  8.000000,       100,injection          ,7mg                ,D
  208,medicine208                                      ,  9.000000,       100,tablet             ,8mg                ,A
  209,medicine209                                      , 10.000000,       100,injection          ,9mg                ,D
  210,medicine210                                      ,  1.000000,       100,tablet             ,0mg                ,A
  211,medicine211                                      ,  2.000000,       100,injection          ,1mg                ,D
  212,medicine212                                      ,  3.000000,       100,tablet             ,2mg                ,A
  213,medicine213                                      ,  4.000000,       100,injection          ,3mg                ,D
  214,medicine214                                      ,  5.000000,       100,tablet             ,4mg                ,A
  215,medicine215                                      ,  6.000000,       100,injection          ,5mg                ,D
  216,medicine216                                      ,  7.000000,       100,tablet             ,6mg                ,A
  217,medicine217                                      ,  8.000000,       100,injection          ,7mg                ,D
  218,medicine218                                      ,  9.000000,       100,tablet             ,8mg                ,A
  219,medicine219                                      , 10.000000,       100,injection          ,9mg                ,D
  220,medicine220                                      ,  1.000000,       100,tablet             ,0mg                ,A
  221,medicine221                                      ,  2.000000,       100,injection          ,1mg                ,D
  222,medicine222                                      ,  3.000000,       100,tablet             ,2mg                ,A
  223,medicine223                                      ,  4.000000,       100,injection          ,3mg                ,D
  224,medicine224                                      ,  5.000000,       100,tablet             ,4mg                ,A
  225,medicine225                                      ,  6.000000,       100,injection          ,5mg                ,D
  226,medicine226                                      ,  7.000000,       100,tablet             ,6mg                ,A
  227,medicine227                                      ,  8.000000,       100,injection          ,7mg                ,D
  228,medicine228                                      ,  9.000000,       100,tablet             ,8mg                ,A
  229,medicine229                                      , 10.000000,       100,injection          ,9mg                ,D
  230,medicine230                                      ,  1.000000,       100,tablet             ,0mg                ,A
  231,medicine231                                      ,  2.000000,       100,injection          ,1mg                ,D
  232,medicine232                                      ,  3.000000,       100,tablet             ,2mg                ,A
  233,medicine233                                      ,  4.000000,       100,injection          ,3mg                ,D
  234,medicine234                                      ,  5.000000,       100,tablet             ,4mg                ,A
  235,medicine235                                      ,  6.000000,       100,injection          ,5mg                ,D
  236,medicine236                                      ,  7.000000,       100,tablet             ,6mg                ,A
  237,medicine237                                      ,  8.000000,       100,injection          ,7mg                ,D
  238,medicine238                                      ,  9.000000,       100,tablet             ,8mg                ,A
  239,medicine239                                      , 10.000000,       100,injection          ,9mg                ,D
  240,medicine240                                      ,  1.000000,       100,tablet             ,0mg                ,A
  241,medicine241                                      ,  2.000000,       100,injection          ,1mg                ,D
  242,medicine242                                      ,  3.000000,       100,tablet             ,2mg                ,A
  243,medicine243                                      ,  4.000000,       100,injection          ,3mg                ,D
  244,medicine244                                      ,  5.000000,       100,tablet             ,4mg                ,A
  245,medicine245                                      ,  6.000000,       100,injection          ,5mg                ,D
  246,medicine246                                      ,  7.000000,       100,tablet             ,6mg                ,A
  247,medicine247                                      ,  8.000000,       100,injection          ,7mg                ,D
  248,medicine248                                      ,  9.000000,       100,tablet             ,8mg                ,A
  249,medicine249                                      , 10.000000,       100,injection          ,9mg                ,D
  250,medicine250                                      ,  1.000000,       100,tablet             ,0mg                ,A
  251,medicine251                                      ,  2.000000,       100,injection          ,1mg                ,D
  252,medicine252                                      ,  3.000000,       100,tablet             ,2mg                ,A
  253,medicine253                                      ,  4.000000,       100,injection          ,3mg                ,D
  254,medicine254                                      ,  5.000000,       100,tablet             ,4mg                ,A
  255,medicine255                                      ,  6.000000,       100,injection          ,5mg                ,D
  256,medicine256                                      ,  7.000000,       100,tablet             ,6mg                ,A
  257,medicine257                                      ,  8.000000,       100,injection          ,7mg                ,D
  258,medicine258                                      ,  9.000000,       100,tablet             ,8mg                ,A
  259,medicine259                                      , 10.000000,       100,injection          ,9mg                ,D
  260,medicine260                                      ,  1.000000,       100,tablet             ,0mg                ,A
  261,medicine261                                      ,  2.000000,       100,injection          ,1mg                ,D
  262,medicine262                                      ,  3.000000,       100,tablet             ,2mg                ,A
  263,medicine263                                      ,  4.000000,       100,injection          ,3mg                ,D
  264,medicine264                                      ,  5.000000,       100,tablet             ,4mg                ,A
  265,medicine265                                      ,  6.000000,       100,injection          ,5mg                ,D
  266,medicine266                                      ,  7.000000,       100,tablet             ,6mg                ,A
  267,medicine267                                      ,  8.000000,       100,injection          ,7mg                ,D
  268,medicine268                                      ,  9.000000,       100,tablet             ,8mg                ,A
  269,medicine269                                      , 10.000000,       100,injection          ,9mg                ,D
  270,medicine270                                      ,  1.000000,       100,tablet             ,0mg                ,A
  271,medicine271                                      ,  2.000000,       100,injection          ,1mg                ,D
  272,medicine272                                      ,  3.000000,       100,tablet             ,2mg                ,A
  273,medicine273                                      ,  4.000000,       100,injection          ,3mg                ,D
  274,medicine274                                      ,  5.000000,       100,tablet             ,4mg                ,A
  275,medicine275                                      ,  6.000000,       100,injection          ,5mg                ,D
  276,medicine276                                      ,  7.000000,       100,tablet             ,6mg                ,A
  277,medicine277                                      ,  8.000000,       100,injection          ,7mg                ,D
  278,medicine278                                      ,  9.000000,       100,tablet             ,8mg                ,A
  279,medicine279                                      , 10.000000,       100,injection          ,9mg                ,D
  280,medicine280                                      ,  1.000000,       100,tablet             ,0mg                ,A
  281,medicine281                                      ,  2.000000,       100,injection          ,1mg                ,D
  282,medicine282                                      ,  3.000000,       100,tablet             ,2mg                ,A
  283,medicine283                                      ,  4.000000,       100,injection          ,3mg                ,D
  284,medicine284                                      ,  5.000000,       100,tablet             ,4mg                ,A
  285,medicine285                                      ,  6.000000,       100,injection          ,5mg                ,D
  286,medicine286                                      ,  7.000000,       100,tablet             ,6mg                ,A
  287,medicine287                                      ,  8.000000,       100,injection          ,7mg                ,D
  288,medicine288                                      ,  9.000000,       100,tablet             ,8mg                ,A
  289,medicine289                                      , 10.000000,       100,injection          ,9mg                ,D
  290,medicine290                                      ,  1.000000,       100,tablet             ,0mg                ,A
  291,medicine291                                      ,  2.000000,       100,injection          ,1mg                ,D
  292,medicine292                                      ,  3.000000,       100,tablet             ,2mg                ,A
  293,medicine293                                      ,  4.000000,       100,injection          ,3mg                ,D
  294,medicine294                                      ,  5.000000,       100,tablet             ,4mg                ,A
  295,medicine295                                      ,  6.000000,       100,injection          ,5mg                ,D
  296,medicine296                                      ,  7.000000,       100,tablet             ,6mg                ,A
  297,medicine297                                      ,  8.000000,       100,injection          ,7mg                ,D
  298,medicine298                                      ,  9.000000,       100,tablet             ,8mg                ,A
  299,medicine299                                      , 10.000000,       100,injection          ,9mg                ,D
  300,medicine300                                      ,  1.000000,       100,tablet             ,0mg                ,A
  301,medicine301                                      ,  2.000000,       100,injection          ,1mg                ,D
  302,medicine302                                      ,  3.000000,       100,tablet             ,2mg                ,A
  303,medicine303                                      ,  4.000000,       100,injection          ,3mg                ,D
  304,medicine304                                      ,  5.000000,       100,tablet             ,4mg                ,A
  305,medicine305                                      ,  6.000000,       100,injection          ,5mg                ,D
  306,medicine306                                      ,  7.000000,       100,tablet             ,6mg                ,A
  307,medicine307                                      ,  8.000000,       100,injection          ,7mg                ,D
  308,medicine308                                      ,  9.000000,       100,tablet             ,8mg                ,A
  309,medicine309                                      , 10.000000,       100,injection          ,9mg                ,D
  310,medicine310                                      ,  1.000000,       100,tablet             ,0mg                ,A
  311,medicine311                                      ,  2.000000,       100,injection          ,1mg                ,D
  312,medicine312                                      ,  3.000000,       100,tablet             ,2mg                ,A
  313,medicine313                                      ,  4.000000,       100,injection          ,3mg                ,D
  314,medicine314                                      ,  5.000000,       100,tablet             ,4mg                ,A
  315,medicine315                                      ,  6.000000,       100,injection          ,5mg                ,D
  316,medicine316                                      ,  7.000000,       100,tablet             ,6mg                ,A
  317,medicine317                                      ,  8.000000,       100,injection          ,7mg                ,D
  318,medicine318                                      ,  9.000000,       100,tablet             ,8mg                ,A
  319,medicine319                                      , 10.000000,       100,injection          ,9mg                ,D
  320,medicine320                                      ,  1.000000,       100,tablet             ,0mg                ,A
  321,medicine321                                      ,  2.000000,       100,injection          ,1mg                ,D
  322,medicine322                                      ,  3.000000,       100,tablet             ,2mg                ,A
  323,medicine323                                      ,  4.000000,       100,injection          ,3mg                ,D
  324,medicine324                                      ,  5.000000,       100,tablet             ,4mg                ,A
  325,medicine325                                      ,  6.000000,       100,injection          ,5mg                ,D
  326,medicine326                                      ,  7.000000,       100,tablet             ,6mg                ,A
  327,medicine327                                      ,  8.000000,       100,injection          ,7mg                ,D
  328,medicine328                                      ,  9.000000,       100,tablet             ,8mg                ,A
  329,medicine329                                      , 10.000000,       100,injection          ,9mg                ,D
  330,medicine330                                      ,  1.000000,       100,tablet             ,0mg                ,A
  331,medicine331                                      ,  2.000000,       100,injection          ,1mg                ,D
  332,medicine332                                      ,  3.000000,       100,tablet             ,2mg                ,A
  333,medicine333                                      ,  4.000000,       100,injection          ,3mg                ,D
  334,medicine334                                      ,  5.000000,       100,tablet             ,4mg                ,A
  335,medicine335                                      ,  6.000000,       100,injection          ,5mg                ,D
  336,medicine336                                      ,  7.000000,       100,tablet             ,6mg                ,A
  337,medicine337                                      ,  8.000000,       100,injection          ,7mg                ,D
  338,medicine338                                      ,  9.000000,       100,tablet             ,8mg                ,A
  339,medicine339                                      , 10.000000,       100,injection          ,9mg                ,D
  340,medicine340                                      ,  1.000000,       100,tablet             ,0mg                ,A
  341,medicine341                                      ,  2.000000,       100,injection          ,1mg                ,D
  342,medicine342                                      ,  3.000000,       100,tablet             ,2mg                ,A
  343,medicine343                                      ,  4.000000,       100,injection          ,3mg                ,D
  344,medicine344                                      ,  5.000000,       100,tablet             ,4mg                ,A
  345,medicine345                                      ,  6.000000,       100,injection          ,5mg                ,D
  346,medicine346                                      ,  7.000000,       100,tablet             ,6mg                ,A
  347,medicine347                                      ,  8.000000,       100,injection          ,7mg                ,D
  348,medicine348                                      ,  9.000000,       100,tablet             ,8mg                ,A
  349,medicine349                                      , 10.000000,       100,injection          ,9mg                ,D
  350,medicine350                                      ,  1.000000,       100,tablet             ,0mg                ,A
  351,medicine351                                      ,  2.000000,       100,injection          ,1mg                ,D
  352,medicine352                                      ,  3.000000,       100,tablet             ,2mg                ,A
  353,medicine353                                      ,  4.000000,       100,injection          ,3mg                ,D
  354,medicine354                                      ,  5.000000,       100,tablet             ,4mg                ,A
  355,medicine355                                      ,  6.000000,       100,injection          ,5mg                ,D
  356,medicine356                                      ,  7.000000,       100,tablet             ,6mg                ,A
  357,medicine357                                      ,  8.000000,       100,injection          ,7mg                ,D
  358,medicine358                                      ,  9.000000,       100,tablet             ,8mg                ,A
  359,medicine359                                      , 10.000000,       100,injection          ,9mg                ,D
  360,medicine360                                      ,  1.000000,       100,tablet             ,0mg                ,A
  361,medicine361                                      ,  2.000000,       100,injection          ,1mg                ,D
  362,medicine362                                      ,  3.000000,       100,tablet             ,2mg                ,A
  363,medicine363                                      ,  4.000000,       100,injection          ,3mg                ,D
  364,medicine364                                      ,  5.000000,       100,tablet             ,4mg                ,A
  365,medicine365                                      ,  6.000000,       100,injection          ,5mg                ,D
  366,medicine366                                      ,  7.000000,       100,tablet             ,6mg                ,A
  367,medicine367                                      ,  8.000000,       100,injection          ,7mg                ,D
  368,medicine368                                      ,  9.000000,       100,tablet             ,8mg                ,A
  369,medicine369                                      , 10.000000,       100,injection          ,9mg                ,D
  370,medicine370                                      ,  1.000000,       100,tablet             ,0mg                ,A
  371,medicine371                                      ,  2.000000,       100,injection          ,1mg                ,D
  372,medicine372                                      ,  3.000000,       100,tablet             ,2mg                ,A
  373,medicine373                                      ,  4.000000,       100,injection          ,3mg                ,D
  374,medicine374                                      ,  5.000000,       100,tablet             ,4mg                ,A
  375,medicine375                                      ,  6.000000,       100,injection          ,5mg                ,D
